date,temperature_2m,relative_humidity_2m,rain,precipitation
2024-01-01 03:00:00+00:00,10.873,87.46449,0.0,0.0
2024-01-01 04:00:00+00:00,10.573,89.52905,0.0,0.0
2024-01-01 05:00:00+00:00,12.873,77.96403,0.0,0.0
2024-01-01 06:00:00+00:00,15.373,67.66023,0.0,0.0
2024-01-01 07:00:00+00:00,17.272999,61.994476,0.0,0.0
2024-01-01 08:00:00+00:00,19.073,56.115868,0.0,0.0
2024-01-01 09:00:00+00:00,20.623,50.466747,0.0,0.0
2024-01-01 10:00:00+00:00,21.873,46.120693,0.0,0.0
2024-01-01 11:00:00+00:00,22.623,43.768215,0.0,0.0
2024-01-01 12:00:00+00:00,22.873,42.82143,0.0,0.0
2024-01-01 13:00:00+00:00,22.973,40.878777,0.0,0.0
2024-01-01 14:00:00+00:00,22.022999,45.853962,0.0,0.0
2024-01-01 15:00:00+00:00,20.772999,50.17024,0.0,0.0
2024-01-01 16:00:00+00:00,19.172998,56.141045,0.0,0.0
2024-01-01 17:00:00+00:00,17.973,61.12886,0.0,0.0
2024-01-01 18:00:00+00:00,16.772999,67.273796,0.0,0.0
2024-01-01 19:00:00+00:00,15.922999,72.204834,0.0,0.0
2024-01-01 20:00:00+00:00,14.923,78.015076,0.0,0.0
2024-01-01 21:00:00+00:00,13.973001,83.50524,0.0,0.0
2024-01-01 22:00:00+00:00,13.623,85.70828,0.0,0.0
2024-01-01 23:00:00+00:00,12.873,89.11436,0.0,0.0
2024-01-02 00:00:00+00:00,12.673,89.39453,0.0,0.0
2024-01-02 01:00:00+00:00,12.173,87.29194,0.0,0.0
2024-01-02 02:00:00+00:00,11.673,88.42293,0.0,0.0
2024-01-02 03:00:00+00:00,11.123,89.27158,0.0,0.0
2024-01-02 04:00:00+00:00,10.823,90.45718,0.0,0.0
2024-01-02 05:00:00+00:00,12.673,81.41829,0.0,0.0
2024-01-02 06:00:00+00:00,14.923,69.645294,0.0,0.0
2024-01-02 07:00:00+00:00,16.672998,62.48237,0.0,0.0
2024-01-02 08:00:00+00:00,18.123,56.632908,0.0,0.0
2024-01-02 09:00:00+00:00,19.373,51.850727,0.0,0.0
2024-01-02 10:00:00+00:00,20.323,48.557655,0.0,0.0
2024-01-02 11:00:00+00:00,21.073,46.36591,0.0,0.0
2024-01-02 12:00:00+00:00,21.573,43.47422,0.0,0.0
2024-01-02 13:00:00+00:00,21.373,42.543545,0.0,0.0
2024-01-02 14:00:00+00:00,20.522999,45.284023,0.0,0.0
2024-01-02 15:00:00+00:00,19.172998,50.41736,0.0,0.0
2024-01-02 16:00:00+00:00,18.223,54.782806,0.0,0.0
2024-01-02 17:00:00+00:00,17.172998,59.92591,0.0,0.0
2024-01-02 18:00:00+00:00,15.873,66.41465,0.0,0.0
2024-01-02 19:00:00+00:00,14.623,72.9365,0.0,0.0
2024-01-02 20:00:00+00:00,13.973001,76.32367,0.0,0.0
2024-01-02 21:00:00+00:00,13.223001,80.40764,0.0,0.0
2024-01-02 22:00:00+00:00,12.673,83.63049,0.0,0.0
2024-01-02 23:00:00+00:00,12.673,83.351105,0.0,0.0
2024-01-03 00:00:00+00:00,13.873,76.563576,0.0,0.0
2024-01-03 01:00:00+00:00,14.023,74.31184,0.0,0.0
2024-01-03 02:00:00+00:00,14.123,73.83186,0.0,0.0
2024-01-03 03:00:00+00:00,13.923,74.544525,0.0,0.0
2024-01-03 04:00:00+00:00,11.923,83.54199,0.0,0.0
2024-01-03 05:00:00+00:00,13.973001,73.80548,0.0,0.0
2024-01-03 06:00:00+00:00,17.323,58.962196,0.0,0.0
2024-01-03 07:00:00+00:00,19.723,49.55253,0.0,0.0
2024-01-03 08:00:00+00:00,21.473,43.7411,0.0,0.0
2024-01-03 09:00:00+00:00,22.772999,39.463757,0.0,0.0
2024-01-03 10:00:00+00:00,23.172998,38.000275,0.0,0.0
2024-01-03 11:00:00+00:00,23.522999,36.330482,0.0,0.0
2024-01-03 12:00:00+00:00,23.672998,35.39506,0.0,0.0
2024-01-03 13:00:00+00:00,23.272999,36.88269,0.0,0.0
2024-01-03 14:00:00+00:00,22.473,38.84626,0.0,0.0
2024-01-03 15:00:00+00:00,20.823,43.41065,0.0,0.0
2024-01-03 16:00:00+00:00,20.272999,45.52245,0.0,0.0
2024-01-03 17:00:00+00:00,18.873,49.658173,0.0,0.0
2024-01-03 18:00:00+00:00,17.373,65.41554,0.0,0.0
2024-01-03 19:00:00+00:00,15.773,74.61243,0.0,0.0
2024-01-03 20:00:00+00:00,14.373,81.10113,0.0,0.0
2024-01-03 21:00:00+00:00,13.323,85.962,0.0,0.0
2024-01-03 22:00:00+00:00,12.573,89.09016,0.0,0.0
2024-01-03 23:00:00+00:00,12.023,91.147644,0.0,0.0
2024-01-04 00:00:00+00:00,11.423,93.26272,0.0,0.0
2024-01-04 01:00:00+00:00,11.523,92.03184,0.0,0.0
2024-01-04 02:00:00+00:00,11.023,93.5546,0.0,0.0
2024-01-04 03:00:00+00:00,10.423,94.47202,0.0,0.0
2024-01-04 04:00:00+00:00,10.123,95.09674,0.0,0.0
2024-01-04 05:00:00+00:00,11.723001,85.22265,0.0,0.0
2024-01-04 06:00:00+00:00,13.123,73.9049,0.0,0.0
2024-01-04 07:00:00+00:00,14.723001,63.09738,0.0,0.0
2024-01-04 08:00:00+00:00,16.123,56.31952,0.0,0.0
2024-01-04 09:00:00+00:00,17.223,52.340405,0.0,0.0
2024-01-04 10:00:00+00:00,18.073,49.60992,0.0,0.0
2024-01-04 11:00:00+00:00,18.573,47.91463,0.0,0.0
2024-01-04 12:00:00+00:00,18.623,47.601986,0.0,0.0
2024-01-04 13:00:00+00:00,18.073,49.440727,0.0,0.0
2024-01-04 14:00:00+00:00,17.272999,51.46665,0.0,0.0
2024-01-04 15:00:00+00:00,16.272999,54.464397,0.0,0.0
2024-01-04 16:00:00+00:00,15.473001,56.734913,0.0,0.0
2024-01-04 17:00:00+00:00,14.823,58.34862,0.0,0.0
2024-01-04 18:00:00+00:00,14.123,60.214237,0.0,0.0
2024-01-04 19:00:00+00:00,13.523,61.750164,0.0,0.0
2024-01-04 20:00:00+00:00,12.873,63.10576,0.0,0.0
2024-01-04 21:00:00+00:00,12.173,63.82378,0.0,0.0
2024-01-04 22:00:00+00:00,11.323,64.52351,0.0,0.0
2024-01-04 23:00:00+00:00,10.473001,66.85723,0.0,0.0
2024-01-05 00:00:00+00:00,9.923,68.876015,0.0,0.0
2024-01-05 01:00:00+00:00,9.323,71.20572,0.0,0.0
2024-01-05 02:00:00+00:00,9.973001,67.92927,0.0,0.0
2024-01-05 03:00:00+00:00,9.223001,71.43601,0.0,0.0
2024-01-05 04:00:00+00:00,8.873,73.39781,0.0,0.0
2024-01-05 05:00:00+00:00,10.723001,65.06763,0.0,0.0
2024-01-05 06:00:00+00:00,12.473001,59.398132,0.0,0.0
2024-01-05 07:00:00+00:00,14.523,52.70808,0.0,0.0
2024-01-05 08:00:00+00:00,16.373,47.3044,0.0,0.0
2024-01-05 09:00:00+00:00,18.022999,43.063065,0.0,0.0
2024-01-05 10:00:00+00:00,19.473,39.74359,0.0,0.0
2024-01-05 11:00:00+00:00,20.473,37.35719,0.0,0.0
2024-01-05 12:00:00+00:00,20.772999,36.92821,0.0,0.0
2024-01-05 13:00:00+00:00,20.323,37.314034,0.0,0.0
2024-01-05 14:00:00+00:00,19.522999,39.209805,0.0,0.0
2024-01-05 15:00:00+00:00,17.873,43.62244,0.0,0.0
2024-01-05 16:00:00+00:00,16.672998,47.060276,0.0,0.0
2024-01-05 17:00:00+00:00,15.623,50.845528,0.0,0.0
2024-01-05 18:00:00+00:00,14.573,55.15523,0.0,0.0
2024-01-05 19:00:00+00:00,13.523,59.655323,0.0,0.0
2024-01-05 20:00:00+00:00,13.173,61.031548,0.0,0.0
2024-01-05 21:00:00+00:00,12.923,61.822132,0.0,0.0
2024-01-05 22:00:00+00:00,12.923,61.822132,0.0,0.0
2024-01-05 23:00:00+00:00,13.523,59.24398,0.0,0.0
2024-01-06 00:00:00+00:00,13.273,60.216656,0.0,0.0
2024-01-06 01:00:00+00:00,12.823,60.947895,0.0,0.0
2024-01-06 02:00:00+00:00,12.623,61.751354,0.0,0.0
2024-01-06 03:00:00+00:00,12.373,62.77241,0.0,0.0
2024-01-06 04:00:00+00:00,12.123,63.812393,0.0,0.0
2024-01-06 05:00:00+00:00,12.523,62.157536,0.0,0.0
2024-01-06 06:00:00+00:00,14.823,53.340775,0.0,0.0
2024-01-06 07:00:00+00:00,16.873,46.305695,0.0,0.0
2024-01-06 08:00:00+00:00,18.473,41.719,0.0,0.0
2024-01-06 09:00:00+00:00,19.922998,38.116074,0.0,0.0
2024-01-06 10:00:00+00:00,20.973,35.72501,0.0,0.0
2024-01-06 11:00:00+00:00,21.573,34.43459,0.0,0.0
2024-01-06 12:00:00+00:00,21.823,33.91244,0.0,0.0
2024-01-06 13:00:00+00:00,21.473,35.130524,0.0,0.0
2024-01-06 14:00:00+00:00,20.873,36.44803,0.0,0.0
2024-01-06 15:00:00+00:00,19.172998,40.633244,0.0,0.0
2024-01-06 16:00:00+00:00,18.123,43.39161,0.0,0.0
2024-01-06 17:00:00+00:00,17.172998,45.27657,0.0,0.0
2024-01-06 18:00:00+00:00,16.123,46.094685,0.0,0.0
2024-01-06 19:00:00+00:00,15.173,46.639324,0.0,0.0
2024-01-06 20:00:00+00:00,14.023,49.182877,0.0,0.0
2024-01-06 21:00:00+00:00,13.373,50.586437,0.0,0.0
2024-01-06 22:00:00+00:00,12.823,51.88352,0.0,0.0
2024-01-06 23:00:00+00:00,11.573,56.52739,0.0,0.0
2024-01-07 00:00:00+00:00,10.523,62.339813,0.0,0.0
2024-01-07 01:00:00+00:00,11.023,61.586895,0.0,0.0
2024-01-07 02:00:00+00:00,11.823,59.445866,0.0,0.0
2024-01-07 03:00:00+00:00,11.373,62.103455,0.0,0.0
2024-01-07 04:00:00+00:00,10.973001,64.67014,0.0,0.0
2024-01-07 05:00:00+00:00,11.423,64.32162,0.0,0.0
2024-01-07 06:00:00+00:00,13.973001,58.137344,0.0,0.0
2024-01-07 07:00:00+00:00,15.672999,49.46579,0.0,0.0
2024-01-07 08:00:00+00:00,17.073,42.79157,0.0,0.0
2024-01-07 09:00:00+00:00,18.172998,39.785027,0.0,0.0
2024-01-07 10:00:00+00:00,18.873,38.212536,0.0,0.0
2024-01-07 11:00:00+00:00,19.323,37.1555,0.0,0.0
2024-01-07 12:00:00+00:00,19.772999,35.879017,0.0,0.0
2024-01-07 13:00:00+00:00,20.123,34.986828,0.0,0.0
2024-01-07 14:00:00+00:00,19.373,36.142303,0.0,0.0
